level,angle,D,t,a,B,C1,C2,Q,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
,,90бу,,,,,,,,,,,,,,,,,
0,90,200,5.0,0,0,0,30.75,0,105,74.2462120245875,,,,,,,,,
0,90,300,6.0,0,0,0,45.69,0,156,110.308657865101,,,,,,,,,
0,90,400,8.0,0,0,0,60.92,0,208,147.078210486802,,,,,,,,,
0,90,500,9.0,0,0,0,75.86,0,259,183.140656327316,,,,,,,,,
0,90,600,10.0,0,0,0,90.8,0,310,219.20310216783,,,,,,,,,
0,90,700,10.0,0,0,0,105.44,0,360,254.558441227157,,,,,,,,,
0,90,800,11.0,0,0,0,120.38,0,411,290.620887067671,,,,,,,,,
0,90,900,12.0,0,0,0,135.32,0,462,326.683332908185,,,,,,,,,
0,90,1000,12.0,0,0,0,149.96,0,512,362.038671967512,,,,,,,,,
0,90,1100,12.0,0,0,0,164.61,0,562,397.39401102684,,,,,,,,,
0,90,1200,12.0,0,0,0,179.25,0,612,432.749350086167,,,,,,,,,
0,90,1300,14.0,0,0,0,194.48,0,664,469.518902707868,,,,,,,,,
0,90,1400,14.0,0,0,0,209.13,0,714,504.874241767195,,,,,,,,,
0,90,1500,14.0,0,0,0,223.77,0,764,540.229580826522,,,,,,,,,
0,90,1600,14.0,0,0,0,238.42,0,814,575.58491988585,,,,,,,,,
0,90,1700,14.0,0,0,0,253.06,0,864,610.940258945177,,,,,,,,,
0,90,1800,14.0,0,0,0,267.7,0,914,646.295598004505,,,,,,,,,
0,90,1900,14.0,0,0,0,282.35,0,964,681.650937063832,,,,,,,,,
0,90,2000,14.0,0,0,0,296.99,0,1014,717.006276123159,,,,,,,,,
,,120бу,,,,,,,,,,,,,,,,,
0,120,200,5.0,0,0,0,52.5,0,105,52.5,,,,,,,,,
0,120,300,6.0,0,0,0,78,0,156,78,,,,,,,,,
0,120,400,8.0,0,0,0,104,0,208,104,,,,,,,,,
0,120,500,9.0,0,0,0,129.5,0,259,129.5,,,,,,,,,
0,120,600,10.0,0,0,0,155,0,310,155,,,,,,,,,
0,120,700,10.0,0,0,0,180,0,360,180,,,,,,,,,
0,120,800,11.0,0,0,0,205.5,0,411,205.5,,,,,,,,,
0,120,900,12.0,0,0,0,231,0,462,231,,,,,,,,,
0,120,1000,12.0,0,0,0,256,0,512,256,,,,,,,,,
0,120,1100,12.0,0,0,0,281,0,562,281,,,,,,,,,
0,120,1200,12.0,0,0,0,306,0,612,306,,,,,,,,,
0,120,1300,14.0,0,0,0,332,0,664,332,,,,,,,,,
0,120,1400,14.0,0,0,0,357,0,714,357,,,,,,,,,
0,120,1500,14.0,0,0,0,382,0,764,382,,,,,,,,,
0,120,1600,14.0,0,0,0,407,0,814,407,,,,,,,,,
0,120,1700,14.0,0,0,0,432,0,864,432,,,,,,,,,
0,120,1800,14.0,0,0,0,457,0,914,457,,,,,,,,,
0,120,1900,14.0,0,0,0,482,0,964,482,,,,,,,,,
0,120,2000,14.0,0,0,0,507,0,1014,507,,,,,,,,,
,,150бу,,,,,,,,,,,,,,,,,
0,150,200,5.0,0,0,0,77.82,0,105,27.1759997357647,,,,,,,,,
0,150,300,6.0,0,0,0,115.62,0,156,40.3757710359932,,,,,,,,,
0,150,400,8.0,0,0,0,154.17,0,208,53.8343613813243,,,,,,,,,
0,150,500,9.0,0,0,0,191.97,0,259,67.0341326815529,,,,,,,,,
0,150,600,10.0,0,0,0,229.77,0,310,80.2339039817814,,,,,,,,,
0,150,700,10.0,0,0,0,266.83,0,360,93.1748562369075,,,,,,,,,
0,150,800,11.0,0,0,0,304.63,0,411,106.374627537136,,,,,,,,,
0,150,900,12.0,0,0,0,342.43,0,462,119.574398837365,,,,,,,,,
0,150,1000,12.0,0,0,0,379.48,0,512,132.515351092491,,,,,,,,,
0,150,1100,12.0,0,0,0,416.54,0,562,145.456303347617,,,,,,,,,
0,150,1200,12.0,0,0,0,453.6,0,612,158.397255602743,,,,,,,,,
0,150,1300,14.0,0,0,0,492.14,0,664,171.855845948074,,,,,,,,,
0,150,1400,14.0,0,0,0,529.2,0,714,184.7967982032,,,,,,,,,
0,150,1500,14.0,0,0,0,566.26,0,764,197.737750458326,,,,,,,,,
0,150,1600,14.0,0,0,0,603.32,0,814,210.678702713452,,,,,,,,,
0,150,1700,14.0,0,0,0,640.38,0,864,223.619654968578,,,,,,,,,
0,150,1800,14.0,0,0,0,677.44,0,914,236.560607223704,,,,,,,,,
0,150,1900,14.0,0,0,0,714.5,0,964,249.50155947883,,,,,,,,,
0,150,2000,14.0,0,0,0,751.56,0,1014,262.442511733956,,,,,,,,,
,,180бу,,,,,,,,,,,,,,,,,
0,180,200,5.0,0,0,0,105,0,105,6.43202938827026E-15,,,,,,,,,
0,180,300,6.0,0,0,0,156,0,156,9.55615794828724E-15,,,,,,,,,
0,180,400,8.0,0,0,0,208,0,208,1.27415439310496E-14,,,,,,,,,
0,180,500,9.0,0,0,0,259,0,259,1.58656724910666E-14,,,,,,,,,
0,180,600,10.0,0,0,0,310,0,310,1.89898010510836E-14,,,,,,,,,
0,180,700,10.0,0,0,0,360,0,360,2.20526721883552E-14,,,,,,,,,
0,180,800,11.0,0,0,0,411,0,411,2.51768007483721E-14,,,,,,,,,
0,180,900,12.0,0,0,0,462,0,462,2.83009293083891E-14,,,,,,,,,
0,180,1000,12.0,0,0,0,512,0,512,3.13638004456607E-14,,,,,,,,,
0,180,1100,12.0,0,0,0,562,0,562,3.44266715829322E-14,,,,,,,,,
0,180,1200,12.0,0,0,0,612,0,612,3.74895427202038E-14,,,,,,,,,
0,180,1300,14.0,0,0,0,664,0,664,4.06749287029662E-14,,,,,,,,,
0,180,1400,14.0,0,0,0,714,0,714,4.37377998402377E-14,,,,,,,,,
0,180,1500,14.0,0,0,0,764,0,764,4.68006709775093E-14,,,,,,,,,
0,180,1600,14.0,0,0,0,814,0,814,4.98635421147808E-14,,,,,,,,,
0,180,1700,14.0,0,0,0,864,0,864,5.29264132520524E-14,,,,,,,,,
0,180,1800,14.0,0,0,0,914,0,914,5.59892843893239E-14,,,,,,,,,
0,180,1900,14.0,0,0,0,964,0,964,5.90521555265955E-14,,,,,,,,,
0,180,2000,14.0,0,0,0,1014,0,1014,6.2115026663867E-14,,,,,,,,,
